Account,avg_pnl,avg_size,leverage,trade_count,win_rate,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,419.1277684596647,16159.57673389209,1.0,3818,0.3596123624934521,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,6.5776539167582415,1653.2263269230768,1.0,7280,0.4427197802197802,2
0x271b280974205ca63b716753467d5a371de622ab,-18.49204287687057,8893.000897873459,1.0,3809,0.3019165135206091,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,9.951529904139434,507.6269326121253,1.0,13311,0.43858462925400044,2
0x2c229d22b100a7beb69122eed721cee9b24011dd,52.0710111126891,3138.894782340228,1.0,3239,0.5199135535659154,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-38.28662574969325,1729.9411042944785,1.0,815,0.45521472392638035,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,4.0281190682641395,4790.5754862078575,1.0,3589,0.32766787405962666,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,161.13327482831323,3445.471265060241,1.0,332,0.4759036144578313,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,520.9023308929503,5189.367127937337,1.0,383,0.2349869451697128,0
0x430f09841d65beb3f27765503d0f850b8bce7713,336.735547567502,2397.824753435732,1.0,1237,0.48423605497170574,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,12.130967972884141,517.5289235825802,1.0,8519,0.35344524005164923,2
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,155.58931373806246,9084.699093204776,1.0,4356,0.48622589531680444,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,40.740489150316456,17098.171054852322,1.0,7584,0.3603639240506329,0
0x513b8629fe877bb581bf244e326a047b249c4ff1,68.68441935403726,34396.58028440667,1.0,12236,0.40119320039228507,0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,111.51919668923077,746.7256512820513,1.0,975,0.4317948717948718,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,270.0349471163522,7216.667245283019,1.0,1590,0.34591194968553457,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,253.1878581664326,2080.390077247191,1.0,1424,0.30337078651685395,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,38.3195599627009,2600.7780491256444,1.0,9893,0.8108763772364298,2
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,9.557692781911483,3748.8675112251444,1.0,1559,0.45221295702373315,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,-36.43145507085416,2204.6855314062163,1.0,4601,0.38274288198217776,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,34.2823955552067,6279.002286760858,1.0,1911,0.33019361590790164,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2.928191023869849,820.4285131350847,1.0,14998,0.26196826243499133,2
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,41.47409637418087,3601.689298820446,1.0,3052,0.2853866317169069,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,6.81210350887536,1273.1950003204101,1.0,15605,0.3457866068567767,2
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,174.6918088057554,2066.6892086330936,1.0,417,0.5731414868105515,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,120.50731710657195,2979.4417761989343,1.0,563,0.40852575488454707,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,40.746875941947565,8330.193370786517,1.0,534,0.32209737827715357,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,145.48174829898866,3837.885375008484,1.0,14733,0.3371343243059798,2
0xb899e522b5715391ae1d4f137653e7906c5e2115,4.648305254443986,22504.555828854896,1.0,4838,0.4386109962794543,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,44.364090516232544,3210.472831257078,1.0,21192,0.46758210645526616,2
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,83.49831952025748,7852.098337750852,1.0,2641,0.32752745172283226,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,20.806304824731235,1844.2118863229146,1.0,40184,0.428230141349791,1
